date,day_num,dow,PRESDAY,STPATS,KDERBY,MEMDAY,INDDAY,LABORDAY,NCAABBALL,TREND,R1_COIN,R1_DROP,R1_RAKE,R2_COIN,R2_DROP,R2_RAKE,R3_COIN,R3_DROP,R3_RAKE
2009-02-03,1,Tuesday,0,0,0,0,0,0,0,0.0,1772621.165240265,276443.7909643073,3971.7052628301103,5224949.1677215835,1865902.1865997817,16475.695553016525,5583479.612537539,172083.70692519788,2943.349562247772
2009-02-04,2,Wednesday,0,0,0,0,0,0,0,0.693147180559945,1772528.841074327,281302.1039382919,4342.207541699879,4883472.169858777,3665454.3600440663,24696.046982327647,6193941.679341522,181551.45241340177,3505.5345238425134
2009-02-05,3,Thursday,0,0,0,0,0,0,0,1.09861228866811,1880720.6988689045,376328.4644999852,4358.190826001044,6125977.153932659,3702455.508739205,26794.460734678534,5773432.584318664,202909.24999378278,4279.461978399764
2009-02-06,4,Friday,0,0,0,0,0,0,0,1.38629436111989,2237850.3087691576,544662.9461741332,5653.99542254112,8304579.448056729,3401664.7096105893,28979.508147314868,8537681.143244324,334368.84868262074,5858.160022398273
2009-02-07,5,Saturday,0,0,0,0,0,0,0,1.6094379124341,2545841.273877331,678492.941840071,9668.53236840442,9803197.534494272,2540126.2883605035,28458.324289348107,8118032.754105858,259628.90689707999,6236.187352676624
2009-02-08,6,Sunday,0,0,0,0,0,0,0,1.79175946922805,2046482.0743587338,394702.7111440749,5527.944798784843,7452676.908724469,1294219.6521500207,28707.716908361042,5889040.736879644,168348.7279045259,5005.293620374885
2009-02-09,7,Monday,0,0,0,0,0,0,0,1.94591014905531,1776765.018462619,274851.64830482495,5544.414109432481,5340779.286608552,1982157.4158489716,20555.790464492686,4747910.435281668,134585.96722959416,3338.859966068209
2009-02-10,8,Tuesday,0,0,0,0,0,0,0,2.07944154167984,1894535.2550084454,280856.509356588,5153.511395676241,6072843.832217905,1156017.3800209032,17981.043539842773,4549252.77284793,121277.12762328672,3079.996741114151
2009-02-11,9,Wednesday,0,0,0,0,0,0,0,2.19722457733622,1756314.2817425323,277694.069267338,4826.595987904354,5870706.42065304,1817634.6653090036,17661.003645378572,5359083.604760643,105188.90321057127,3233.8009586481426
2009-02-12,10,Thursday,0,0,0,0,0,0,0,2.30258509299405,1640813.8064037878,317658.4038090011,4957.2104463328515,5978715.823349684,1266598.7303854106,21254.158678211807,5314290.193604635,130449.66297341905,4477.524528357557
